Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,nz,AB,Activity|transportation|F_T_ETH,?,10.97352847,11.92551342,6.512347983,1.61367312,1.036424508,0.651100289
Temoa,nz,AB,Activity|transportation|F_T_GSL,?,88.78582122,67.57790938,36.90330524,9.144147681,5.873072214,3.689568307
Temoa,nz,AB,Activity|transportation|F_T_HFO,?,0.157864934,0.157826168,0.016639055,,,
Temoa,nz,AB,Activity|transportation|F_T_JTF,?,45.44700825,48.99291585,50.80388464,53.26166475,56.55428694,60.55810019
Temoa,nz,AB,Activity|transportation|F_T_LNG,?,27.51775617,30.51930913,32.83412093,34.50131609,36.53007567,38.76496565
Temoa,nz,AB,Activity|transportation|F_T_NG,?,1.514917848,1.553661112,1.553571074,1.48578196,1.482246629,
Temoa,nz,AB,Activity|transportation|F_T_RDSL,?,4.606815164,3.76262833,2.26026498,0.744805343,0.794100903,0.850318967
Temoa,nz,AB,Activity|transportation|T_BLND_ETH_GSL,?,99.75934968,79.5034228,43.41565322,10.7578208,6.909496722,4.340668596
Temoa,nz,AB,Activity|transportation|T_BLND_GSL_ELC_PHEV35,?,43.62353171,47.79259946,47.7328649,16.7553995,8.520509459,2.012181723
Temoa,nz,AB,Activity|transportation|T_BLND_GSL_ELC_PHEV50,?,,0.30195797,0.33283539,0.332215992,3.03461436,6.111738281
Temoa,nz,AB,Activity|transportation|T_BLND_JTF,?,45.44700542,48.99290815,50.80387087,53.26164315,56.55425418,60.55807103
Temoa,nz,AB,Activity|transportation|T_BLND_RDSL_DSL,?,115.1703791,94.06570824,56.50662449,18.62013357,19.85252258,21.25797418
Temoa,nz,AB,Activity|transportation|T_ELC_AC_DC,?,,0.018195008,0.019092183,0.027065894,0.037663542,1.395003847
Temoa,nz,AB,Activity|transportation|T_H2_COMP_100_700,?,1.111515191,1.154515813,1.154380278,1.11142894,1.118264904,1.145355426
Temoa,nz,AB,Activity|transportation|T_H2_COMP_10_100,?,1.111515191,1.154515813,1.154375221,1.111423913,1.118258006,1.145355426
Temoa,nz,AB,Activity|transportation|T_H2_HDV_REFUEL,?,1.10586963,1.148650592,1.149879167,1.107095885,1.113946441,1.139529953
